geneSymbol	proteinName
C9orf41	Q8N4J0
CCDC109A	Q8NE86
C14orf43	Q6PJG2
TTC18	Q5T0N1
GNA14	O95837
FAM161B	Q96MY7
GNAQ	P50148
WIF1	Q9Y5W5
GPR61	Q9BZJ8
MMP16	P51512
ADK	P55263
KCNMA1	Q12791
BATF	Q16520
DCK	P27707
ADAMTS3	O15072
ALX3	O95076
DPY19L4	Q7Z388
C8orf38	Q330K2
DRAM2	Q6UX65
C8orf37	Q96NL8
PPEF2	O14830
C15orf26	Q6P656
ADAMTSL3	P82987
ART3	Q13508
SLC28A1	O00337
WHAMM	Q8TF30
CXCL13	O43927
N6AMT1	Q9Y5N5
RWDD2B	P57060
USP16	Q9Y5T5
CCT8	P50990
C21orf7	P57077
NAA11	Q9BSU3
BACH1	O14867
BRIP1,BACH1	Q9BX63
CLDN17	P56750
CLDN8	P56748
TSPAN7	P41732
TIAM1	Q13009
SFRS15	O95104
RPGR	Q92834
CDK20	Q8IZL9
PCGF6	Q9BYE7
ANKRD9	Q96BM1
C10orf78	Q86XK3
SORCS3	Q9UPU3
SFXN2	Q96NB2
C14orf2	P56378
FUT6	P51993
TDRD9	Q8NDG6
FGF18	O76093
PCDH1	Q08174
SH3RF2	Q8TEC5
GDF6	Q6KF10
UQCRB	P14927
MTERFD1	Q96E29
PTDSS1	P48651
PPP2R2B	Q00005
RPL30	P62888
KCNS2	Q9ULS6
FAM122C	Q6P4D5
SUPV3L1	Q8IYB8
FAM122B	Q7Z309
EEF1A1	P68104
FBXO43	Q4G163
HKDC1	Q2TB90
HK1	P19367
TYSND1	Q2T9J0
PHF6	Q8IWS0
CD109	Q6YHK3
LRFN2	Q9ULH4
NODAL	Q96S42
PRG3	Q8TBJ4
AIFM2,PRG3	Q9BRQ8
PRG3	Q9Y2Y8
UBE2L6	O14933
ZDHHC5	Q9C0B5
MED19	A0JLT2
ZFAND3	Q9H8U3
NPTN	Q9Y639
MYST4	Q8WYB5
SAMD8	Q96LT4
RAB11FIP1	Q6WKZ4
UNC5D	Q6UXZ4
GLYATL2	Q8WU03
UTP14A	Q9BVJ6
AIFM1	O95831
MAPK13	O15264
BAG4	O95429
MS4A1	P11836
WDR67	Q96DN5
WDYHV1	Q96HA8
ATAD2	Q6PL18
FBXO32	Q969P5
NSMCE2	Q96MF7
ZNF689	Q96CS4
PRR14	Q9BWN1
FBRS	Q9HAH7
FRRS1	Q6ZNA5
PHKG2	P15735
HIAT1	Q96MC6
SASS6	Q6UVJ0
COX6A2	Q02221
ITGAD	Q13349
GPR112	Q8IZF6
ZIC3	O60481
C7orf30	Q96EH3
VPS8	Q8N3P4
LHFPL4	Q7Z7J7
LHFPL4	Q86UP9
B3GNT7	Q8NFL0
MPV17L	Q2QL34
BUB1B	O60566
PDE6D	O43924
EIF4A2	Q14240
BRPF1	P55201
RPUSD3	Q6P087
SST	P61278
TATDN2	Q93075
GHRL	Q9UBU3
SEC13	P55735
EXOG	Q9Y2C4
NTAN1	Q96AB6
C1orf14	Q9BZQ2
NMNAT2	Q9BZQ4
ZFYVE9	O95405
ATP2B4,ATP2B2	P23634
ATP2B2	Q01814
LYZL4	Q96KX0
SLC6A1	P30531
SMG1	Q96Q15
FCHO2	Q0JRZ9
RBPMS	Q93062
TMEM171	Q8WVE6
KBTBD5	Q2TBA0
C8A	P07357
TIMP4	Q99727
SYN2	Q92777
NRG1	Q02297
C1orf27	Q5SWX8
CPT2	P23786
NECAP2	Q9NVZ3
LRP8	Q14114
CDCP2	Q5VXM1
PAXIP1	Q6ZW49
STEAP2	Q8NFT2
SSBP3	Q9BWW4
HTR5A	P47898
CLDN12	P56749
MMP14	P50281
FZD1	Q9UP38
GATAD1	Q8WUU5
SUSD3	Q96L08
THTPA	Q9BU02
TMED6	Q8WW62
CLEC18A	A5D8T8
DHRS4	Q9BTZ2
C1orf158	Q8N1D5
CLEC18C	Q8NCF0
C6orf81	Q5T9G4
DDX19B	Q9UMR2
ST3GAL2	Q16842
FUK	Q8N0W3
PRAMEF15	Q5VWM5
IL34	Q6ZMJ4
DHRS1	Q96LJ7
CACNA1D	Q01668
ARSE	P51690
KIT	P10721
HYDIN	Q4G0P3
AASDH	Q4L235
ZNF19	P17023
CACNA2D3	Q8IZS8
RNF111	Q6ZNA4
CCNB2	O95067
FAM81A	Q8TBF8
APPL1	Q9UKG1
MUM1L1	Q5H9M0
AFAP1L1	Q8TED9
TSC22D3	Q99576
DSCR3	O14972
DYRK1A	Q13627
KCNJ6	P48051
ERG	P11308
KCNH2,ERG	Q12809
ETS2	P15036
TSPAN18	Q96SJ8
LCA5L	O95447
SLC35B2	Q8TB61
TMEM164	Q5U3C3
MX1	P20591
CREB3L1	Q96BA8
C2CD2	Q9Y426
TAB3	Q8N5C8
SLC38A10	Q9HBR0
C9orf43	Q8TAL5
ZNF618	Q5T7W0
DGKI	O75912
C9orf91	Q5VZI3
SVOPL	Q8N434
SNX22	Q96L94
UBN2	Q6ZU65
BRAF	P15056
SLC34A2	O95436
ACAN	P16112
PSMG3	Q9BT73
CABP1	Q9NZU7
WDR19	Q8NEZ3
SLC37A3	Q8NCC5
AP3S2	P59780
FMNL2	Q96PY5
RPS4Y2	Q8TD47
FAM59B	Q75VX8
DPYSL5	Q9BPU6
C2orf39	Q96MC2
RAB28	P51157
C1orf93	Q8TBF2
TNFRSF14	Q92956
PANK4	Q9NVE7
CIB4	A0PJX0
MEGF11	A6BM72
C12orf43	Q96C57
PEX10	O60683
RER1	O15258
RADIL	Q96JH8
SKI	P12755
WIPI2	Q9Y4P8
LDLRAP1	Q5SW96
AGAP1	Q9UPQ3
KRTCAP3	Q53RY4
ANKRD61	A6NGH8
PAFAH2	Q99487
EXTL1	Q92935
SLC30A2	Q9BRI3
BRE	Q9NXR7
TRIM63	Q969Q1
WDR66	Q8TBY9
MRPL17	Q9NRX2
DUSP2	Q05923
GRHL3	Q8TE85
UBXN11	Q5T124
NLRP14	Q86W24
PTPDC1	A2A3K4
GALNT14	Q96FL9
NCK1	P16333
HPD	P32754
RHPN1	Q8TCX5
TPRG1L	Q5T0D9
LRRC43	Q8N309
C9orf21	Q7RTV5
XDH	P47989
XKR8	Q9H6D3
CNNM4	Q6P4Q7
EYA3	Q99504
DZIP1L	Q8IYY4
TMSB15A	P0CG34
FANCC	Q00597
MRAS	O14807
WASF2	Q9Y6W5
ABHD3	Q8WU67
ESYT3	A0FGR9
FAIM	Q9NVQ4
FAM46B	Q96A09
CLSTN2	Q9H4D0
RNF207	Q6ZRF8
CUL4B	Q13620
GPR153	Q6NV75
SLC13A3	Q8WWT9
GPRASP2	Q96D09
RHBDL2	Q9NX52
AUTS2	Q8WXX7
SHROOM4	Q9ULL8
HIST1H2BD	P58876
CDC25C	P30307
MITD1	Q8WV92
EIF5B	O60841
RIBC1	Q8N443
TMSB15B	P0CG35
C2orf62	Q7Z7H3
C2orf29	Q9UKZ1
KCNB1	Q14721
TSPAN33	Q86UF1
NRG2	O14511
AHCYL2	Q96HN2
B4GALT5	O43286
CD1D	P15813
CD1A	P06126
SPATA2	Q9UM82
CD1C	P29017
FAM86C	Q9NVL1
CD1B	P29016
DNAH3	Q8TD57
CD1E	P15812
HMHB1	O97980
CPA2	P48052
NCF1	P14598
CPA5	Q8WXQ8
TSR2	Q969E8
PPP1R9A	Q9ULJ8
ZC3H18	Q86VM9
ZFAND2B	Q8WV99
POM121L2	Q96KW2
GDPD5	Q8WTR4
DYNC1I1	O14576
PFKFB1	P16118
ALAS2	P22557
TMED4	Q7Z7H5
PPP1R15B	Q5SWA1
COPG2	Q9UBF2
C11orf30	Q7Z589
PAGE5	Q96GU1
AGPAT6	Q86UL3
PKD1L1	Q8TDX9
ZSCAN12	O43309
TAGLN2	P37802
ELK4	P28324
SLAMF8	Q9P0V8
SLC45A3	Q96JT2
DUSP23	Q9BVJ7
RNF166	Q96A37
NBL1	P41271
HTR6	P50406
ITLN2	Q8WWU7
F11R	Q9Y624
USF1	P22415
PLA2G2F	Q9BZM2
SPATA2L	Q8IUW3
NIT1	Q86X76
DEDD	O75618
ZNF276	Q8N554
NPM2	Q86SE8
EDA	Q92838
FGF17	O60258
VWA5B1	Q5TIE3
CDA	P32320
PINK1	Q9BXM7
B4GALT3	O60512
EPB49	Q08495
ADAMTS4	O75173
FAM160B2	Q86V87
NDUFS2	O75306
SLC5A11	Q8WWX8
FCER1G	P30273
APOA2	P02652
TOMM40L	Q969M1
MPZ	P25189
WFDC8	Q8IUA0
DBC1,KIAA1967	Q8N163
WNT9B	O14905
CACHD1	Q5VU97
CDC42SE2	Q9NRR3
RAPGEF6	Q8TEU7
EPB41	P11171
C21orf45	Q9NYP9
ALG8	Q9BVK2
FBXW5	Q969U6
C21orf59	P57076
SYNJ1	O43426
GCFC1	Q9Y5B6
IFNAR2	P48551
MRPL10	Q7Z7H8
IFNGR2	P38484
GART	P22102
SON	P18583
DONSON	Q9NYP3
SV2A	Q7L0J3
LAD1	O00515
STC1	P52823
TNNI1	P19237
CSRP1	P21291
PRAC	Q96KF2
HOXB13	Q92826
C1QC	P02747
KCNE2	Q9Y6J6
ATP5G1	P05496
DSC1,RCAN1	P53805
UBE2Z	Q9H832
C1orf51	Q8N365
SNF8	Q96H20
CLIC6	Q96NY7
CCDC24	Q8N4L8
RUNX1	Q01196
ZBP1,IGF2BP1	Q9NZI8
GIP	P09681
CBR1	P16152
CBR3	O75828
C2orf81	A6NN90
GJA9,GJD2	Q9UKL4
ACTC1	P68032
MORC3	Q14149
MPP7,CHAF1B	Q13112
CLDN14	O95500
SIM2	Q14190
HLCS	P50747
GOLGA6A	Q9NYA3
SCUBE1	Q8IWY4
ARHGAP27	Q6ZUM4
ADPGK	Q9BRR6
PTMS	P20962
PLA2G4D	Q86XP0
PADI4	Q9UM07
ADIPOR1	Q96A54
CYB5R1	Q9UHQ9
PSMD4	P55036
ATP13A2	Q9NQ11
C2orf65	Q8TC57
PSMB4	P28070
IRX6	P78412
BTG2	P78543
CES5A	Q6NT32
HK2	P52789
C1R	P00736
CELF3	Q5SZQ8
ALDH4A1	P30038
STARD9	Q9P2P6
THEM4	Q5T1C6
TCHH	Q07283
LCE2B	O14633
UBR1	Q8IWV7
AMFR	Q9UKV5
MED8	Q96G25
TGM7	Q96PF1
RGR,RGL4	Q8IZJ4
SPRR2G	Q9BYE4
PGLYRP3	Q96LB9
ISL2	Q96A47
RSPRY1	Q96DX4
CCDC17	Q96LX7
GPBP1L1	Q9HC44
NAE1	Q13564
TMEM69	Q5SWH9
GPR114	Q8IZF4
CCDC135	Q8IY82
ACE	P12821
TEPP	Q6URK8
UROC1	Q96N76
KIAA0494	O75071
SPON2	Q9BUD6
CHCHD6	Q9BRQ6
CTBP1	Q13363
LRRC36	Q1X8D7
TPPP3	Q9BW30
ZDHHC1	Q8WTX9
ATP6V0D1	P61421
AGRP	O00253
ZFYVE28	Q9HCC9
RLTPR	Q6F5E8
C16orf86	Q6ZW13
PIP	P12273
FAM131B	Q86XD5
RGS12	O14924
PSKH1	P11801
ZYX	Q15942
ABR	Q12979
LYPD5	Q6UWN5
CCDC117	Q8IWD4
RNF141,ZNF230	Q8WVD5
ZNF230	Q9UIE0
CCDC107	Q8WV48
ZNF222	Q9UK12
NPR2	P20594
ZNF233	A6NK53
ZNF235	Q14590
GNE	Q9Y223
TNFRSF13C	Q96RJ3
OR3A3	P47888
GRLF1	Q9NRY4
PTGIR	P43119
CALM3	P0DP25
DFFA	O00273
CCDC28B	Q9BUN5
IQCC	Q4KMZ1
C1orf91	Q8WY98
BSDC1	Q9NW68
ZBTB8A	Q96BR9
ATAD3B	Q5T9A4
SSU72	Q9NP77
UBE2J2	Q8N2K1
ZNF362	Q5T0B9
FNDC5	Q8NAU1
CPAMD8	Q8IZJ3
NR2F6	P10588
ANKLE1	Q8NAG6
CCDC58	Q4VC31
VMA21	Q3ZAQ7
KALRN	O60229
CILP2	Q8IUL8
ABCG1	P45844
TFF3	Q07654
TFF2	Q03403
TFF1	P04155
TMPRSS3	P57727
TMPRSS4,TMPRSS3	Q9NRS4
UBASH3A	P57075
RSPH1	Q8WYR4
SLC37A1	P57057
PDE9A	O76083
WDR4	P57081
NDUFV3	P56181
PKNOX1	P55347
CBS	P35520
U2AF1	Q01081
CRYAA	A0A140G945
CRYAA	P02489
HSF2BP	O75031
RRP1B	Q14684
PDXK	O00764
G6PD	P11413
RPLP1,RRP1	P05386
RRP1	P56182
AGPAT3	Q9NRZ7
TRAPPC10	P48553
GAB3	Q8WWW8
C21orf33	P0DPI2
ICOSLG	O75144
AIRE	O43918
C21orf2	O43822
LRRC3	Q9BY71
ITGB2	P05107
C21orf70	Q9NSI2
RALGDS	Q12967
FTCD	O95954
C21orf56	Q9H0A9
LSS	P48449
VAV2	P52735
MCM3AP	O60318
C21orf58	P58505
PCNT	O95613
DIP2A	Q14689
S100B	P04271
PRMT2	P55345
CLDND2	Q8NHS1
ZNF208	O43345
ADAMTS13	Q76LX8
CACFD1	Q9UGQ2
SLC2A6	Q9UGQ3
FCN2	Q15485
C9orf116	Q5BN46
LCN1	P31025
ZNF714	Q96N38
GPSM1	Q86YR5
C19orf47	Q8N9M1
HIPK4	Q8NE63
C9orf117	Q5JU67
TOR2A	Q5JU69
TOR2A	Q8N2E6
ST6GALNAC6	Q969X2
SHKBP1	Q8TBC3
RDH13	Q8NBN7
ZER1	Q7Z7L7
ZDHHC12	Q96GR4
PKN3	Q6P5Z2
SPTBN4	Q9H254
BRSK1	Q8TDC3
COX6B2	Q6YFQ2
TMEM190	Q8WZ59
PAN2,NLRP4	Q96MN2
PPAPDC3	Q8NBV4
TAOK1	Q7L7X3
MED27	Q6P2C8
DEDD2	Q8WXF8
SIK3	Q9Y2K2
MPZL3	Q6UWV2
AMICA1	Q86YT9
NEK8	Q86SG6
NEK9,NEK8	Q8TD19
TLCD1	Q96CP7
PCSK7	Q16549
SAFB	Q15424
CD3G	P09693
S100A1	P23297
C1orf77	Q9Y3Y2
CXCR5	P32302
ZBTB7B	O15156
FLAD1	Q8NFF5
SHC1	P29353
NLRX1	Q86UT6
ADAR	P55265
IL6R	P08887
UBE2Q1	Q7Z7E8
CHRNB2	P17787
CRTC2	Q53ET0
ANO10	Q9NW15
FDPS	P14324
RUSC1	Q9BVN2
FAM189B	P81408
PAQR6	Q6TCH4
PMF1	Q6P1K2
SLC25A44	Q96H78
LMNA	P02545
CCR5	P51681
NBEAL2	Q6ZNJ1
CCDC12	Q8WUD4
PTH1R	Q03431
UBQLN4	Q9NRR5
MYL3	P08590
C7orf47	Q8TAP8
GPATCH4	Q5T3I0
STAG3L2	P0CL84
C1orf92	Q8N4P6
GATS	Q8NAP1
FCRL3	Q96P31
AZGP1	P25311
FGFR4	P22455
CYP3A4	P08684
CYP3A7	P24462
NACC1	Q96RE7
CYP11B1	P15538
HK3	P52790
LY6K	Q17RY6
IER2	Q9BTL4
ZNF394	Q53GI3
CPSF4	O95639
LY6E	Q16553
VPS28	Q9UK41
NFKBIL2	Q96HA7
PTGER1	P34995
IRF4,MUM1	Q15306
MUM1	Q2TAK8
LRRC14	Q15048
ZNF333	Q96JL9
EMID2	Q96A83
CUX1	P39880
CUX1	Q13948
PPP1R16A	Q96I34
FOXH1	O75593
ORAI2	Q96SN7
ALKBH4	Q9NXW9
CCDC105	Q8IYK2
SH2B2	O14492
C5orf45	Q6NTE8
SQSTM1	Q13501
MGAT4B	Q9UQ53
RPL8	P62917
MAML1	Q92585
PGLYRP2	Q96PD5
LRWD1	Q9UFC0
FBXL13	Q8NEE6
NAPEPLD	Q6IQ20
SCGB3A1	Q96QR1
PSMC2	P35998
CELF5	Q8N6W0
C19orf28	Q6NUT3
USP41	Q3LFD5
YDJC	A8MPS7
CCDC116	Q8IYX3
DVL3	Q92997
AP2M1	Q96CW1
ABCF3	Q9NUQ8
PCYT1A	P49585
FBXO27	Q8NI29
DMKN	Q6E0U4
U2AF1L4	Q8WU68
TMEM149,U2AF1L4	Q9H665
BDH1	Q02338
NPHS1	O60500
THAP8	Q8NA92
COX7A1	P24310
ZNF382	Q96SR6
DUSP14	O95147
LRRC56	Q8IYG6
PLXDC1	Q8IUK5
PGAP3	Q96FM1
IKZF3	Q9UKT9
GRIN2C	Q14957
FDXR	P22570
SAP30BP	Q9UHR5
ACOX1	Q15067
PRPSAP1	Q14558
CYGB	Q8WWM9
SRSF2	Q01130
ZNF577	Q9BSK1
TMEM143	Q96AN5
CCL5	P13501
LYZL6	O75951
CCL16	O15467
CCL15	Q16663
TBC1D3G	Q6DHY5
KLHL10	Q6JEL2
CCDC155	Q8N6L0
PPOX,HCRT	O43612
ALDH16A1	Q8IZ83
DCD	P81605
ITGA5	P08648
SIGLEC11	Q96RL6
ZNF385A	Q96PM9
SIGLEC16	A6NMB1
DLG3,MPP3	Q13368
CD300LG	Q6UXG3
IZUMO2	Q6UXV1
NAGS	Q8N159
LSM12	Q3MHD2
ASB16	Q96NS5
C19orf63	Q5UCC4
JOSD2	Q8TAC2
SHANK1	Q9Y566
FAM171A2	A8MVW0
DBF4B	Q8NFT6
PLCD3	Q8N3E9
FHOD3,FMNL3	Q8IVF7
AQP5	P55064
RACGAP1	Q9H0H5
OR7G1	Q8NGA0
LARP4	Q71RC2
GRASP	Q7Z6J2
RAVER1	Q8IY67
KRT84	Q9NSB2
KRT82	Q9NSB4
SYCE2	Q6PIF2
SPC24	Q8NBT2
IP6K3	Q96PC2
LEMD2	Q8NC56
ALOX15	P16050
TREML1	Q86YW5
ZNF653	Q96CK0
MED11	Q9P086
CXCL16	Q9H2A7
C17orf87	Q6UWF3
C17orf49	Q8IXM2
BCL6B	Q8N143
ASGR2	P07307
TNFSF13	O75888
SENP3	Q9H4L4
FGF11	Q92914
EIF4A1	P60842
RPL26	P61254
CCDC42	Q96M95
POLR3K	Q9Y2Y1
SNRNP25	Q9BV90
C16orf11	P0CG20
WDR90	Q96KV7
JMJD8	Q96S16
CCDC78	A2IDD5
MSLNL	Q96KJ4
SSTR5	P35346
SPSB3	Q6PJ21
C16orf73	Q8N635
C16orf59	Q7L2K0
CCNF	P41002
TBC1D24	Q9ULP9
AMDHD2	Q9Y303
NTN3	O00634
CCDC64B	A1A5D9
PAQR4	Q8N4S7
FLYWCH2	Q96CP2
ZG16B	Q96DA0
ZNF75A	Q96N20
ADCY9	O60503
SHANK2	Q9UPX8
CLPB	Q9H078
NEU3	Q9UQ49
CYBASC3	Q8NBI2
C11orf66	Q7Z5V6
ASRGL1	Q7L266
GNG3	P63215
UBXN1	Q04323
C11orf48	Q9BQE6
TTC9C	Q8N5M4
TAF6L	Q9Y6J9
NXF1	Q9UBU9
STX5	Q13190
SLC25A45	Q8N413
RPL29	P47914
ITIH3	Q06033
SYVN1	Q86TM6
ZFPL1	O95159
RPS6KA4	O75676
LRP5	O75197
TPCN2	Q8NHX9
FGF19	O95750
CYP4A22	Q5TCH4
PDZK1IP1	Q13113
TAL1	P17542
CMPK1	P30085
BEND5	Q7L4P6
ELAVL4	P26378
C1orf163	Q96BR5
ZYG11B	Q9C0D3
SLC1A7	O00341
C1orf123	Q9NWV4
MAGOH	P61326
ACOT11	Q8WXI4
FAM151A	Q8WW52
PARS2	Q7L3T8
C1orf177	Q3ZCV2
BSND	Q8WZ55
USP24	Q9UPU5
PPAP2B	O14495
NOL9	Q5SY16
PRKAA2	P54646
KLHL21	Q9UJP4
ZSWIM5	Q9P217
GMEB1	Q9Y692
SLC45A1	Q9Y2W3
SEPN1	Q9NZV5
AK3,AK4	P27144
JAK1	P23458
RAVER2	Q9HCJ3
CTRC	Q99895
LZIC	Q8WZA0
RBP7	Q96R05
KNCN	A6PVL3
FBLIM1	Q8WUP2
TMEM82	A0PJX8
SLC25A34	Q6PIV7
AKR7A3	O95154
C1orf187	Q8NBI3
PDPN	Q86YL7
LRRC38	Q5VT99
DHRS3	O75911
MATN1	P21941
LAPTM5	Q13571
SDC3	O75056
PEF1	Q9UBV8
SYNC	Q9H7C4
RBBP4	Q09028
KIAA1522	Q9P206
TSSK3	Q96PN8
TMCO4	Q5TGY1
UBXN10	Q96LJ8
CAMK2N1	Q7Z7J9
ALPL	P05186
WNT4	P56705
TTLL10	Q6ZVT0
SCNN1D	P51172
MXRA8	Q9BRK3
C1orf86	Q6NZ36
MEGF6	O75095
CCDC27	Q2M243
IL23R	Q5VWK5
DIRAS3	O95661
C1orf87	Q8N0U7
NFIA	Q12857
OMA1	Q96E52
MYSM1	Q5VVJ2
TM2D1	Q9BX74
USP1	O94782
FUBP1	Q96AE4
NEXN	Q0ZGT2
DNAJB4	Q9UDY4
ELTD1	Q9HBW9
LRRIQ3	A6PVS8
LRRC53	A6NM62
TYW3	Q6IPR3
LHX8	Q68G74
SNX7	Q9UNH6
B3GALT2	O43825
NTNG1	Q9Y2I2
FAM102B	Q5T8I3
C1orf59	Q5T8I9
AKNAD1	Q5T1N1
C1orf52	Q8N6N3
WDR63	Q8IWG1
GBP2	P32456
ATXN7L2	Q5T6C5
GBP4	Q96PP9
ZNF326	Q5BKZ1
HFM1	A2PYH4
FAM5C	Q76B58
GFI1	Q99684
KCNT2	Q6UVM3
AGL	P35573
VCAM1	P19320
EXTL2	Q9UBQ6
SLC30A7	Q8NEW0
ZNF281	Q9Y2X9
ARPC5	O15511
CADM3	Q8N126
NLRP3	Q96P20
ZNF496	Q96IT1
TRIM58	Q8NG06
SLAMF9	Q96A28
OR2M5	A3KFT3
KCNJ9	Q92806
IGSF8	Q969P0
PEA15	Q15121
PEX19	P40855
NCSTN	Q92542
VANGL2	Q9ULK5
SLAMF6	Q96DU3
OLFML2B	Q68BL8
FCRL2,FCRLB	Q6BAA4
FCGR3B	O75015
SLC9A11	Q5TAH2
KLHDC9	Q8NEP7
C1orf74	Q96LT6
LMX1A	Q8TE12
LRRC52	Q8N7C0
FLVCR1	Q9Y5Y0
FAM71A	Q8IYT1
ATF3	P18847
RBM15	Q96T37
DENND2D	Q9H6A0
C1orf125	Q5T1B0
TDRD5	Q8NAT2
IER5	Q5VY09
SNED1	Q8TER0
BPNT1	O95861
SPATA17	Q96L03
C1orf115	Q9H7X2
C1orf58	Q5VW32
ACP6	Q9NPH0
WDR64	B1ANS9
KIF26B	Q2KJY2
TFB2M	Q9H5Q4
CNST	Q6PJW8
KLRAQ1	Q6ZMI0
KLHDC8A	Q8IYD2
PM20D1	Q6GTS8
PKDCC	Q504Y2
OXER1	Q8TDS5
HAAO	P46952
B3GALNT2	Q8NCR0
C1orf147	Q96MC9
MAPKAPK2	P49137
IL20	Q9NYY1
IL17B,IL20	Q9UHF5
IL24	Q13007
FAIM3	O60667
PIGR	P01833
FCAMR	Q8WWV6
CAPN2	P17655
MRPL55	Q7Z7F7
C1orf145	Q96MR7
WDR26	Q9H7D7
REL	Q04864
PUS10	Q3MIT2
PEX13	Q92968
KIAA1841	Q6NSI8
TRIM17	Q9Y577
RFTN2	Q52LD8
DISC1	Q9NRI5
CAPN13	Q6MZZ7
LRRTM1	Q86UE6
MEMO1	Q9Y316
DPY30	Q9C005
C2orf60	A2RUC4
C2orf47	Q8WWC4
KCNF1	Q9H3M0
PQLC3	Q8N755
ARL5A	Q9Y689
FAM84A	Q96KN4
KCNJ3	P48549
NEUROD1	Q13562
C2orf63	Q8NHS4
FRZB	Q92765
DUSP19	Q8WTR2
CCDC104	Q96G28
NUP35	Q8NFH5
CCDC138	Q96M89
C2orf48	Q96LS8
ZSWIM2	Q8NEG5
FBXO41	Q8TF61
ACTG2	P63267
C2orf44	Q9H6R7
SMC6	Q96SB8
VSNL1	P62760
CCDC74A	Q96AQ1
H3F3B,H3F3A	P84243
ANKRD30BL	A7E2S9
ADCK3	Q8NI60
SLC16A14	Q7RTX9
TEKT4	Q8WW24
EN1	Q05925
ZNF2	Q9BSG1
SGCB	Q16585
SPATA18	Q8TC71
NOSTRIN	Q8IVI9
CCDC140	Q96MF4
SGPP2	Q8IWX5
INHBB	P09529
XIRP2	A4UGR9
BBS5	Q8N3I7
BIRC8	Q96P09
SMARCAD1	Q9H4L7
HPGDS	O60760
PDLIM5	Q96HC4
OTUD7B	Q6GQQ9
PDHA2	P29803
C4orf37	Q8N412
RPRD2	Q5VT52
ANKRD23	Q86SG2
CTSS	P25774
MSX1	P28360
PACRGL	Q8N7B6
BNIPL	Q7Z465
C1QTNF7	Q9BXJ2
TNFAIP8L2	Q6P589
LYSMD1	Q96S90
SCNM1	Q9BWG6
TMOD4	Q9NZQ9
VPS72	Q15906
ERCC3	P19447
RNF149	Q8NC42
IWS1	Q96ST2
BOLA3	Q53S33
CDC42EP3	Q9UKI2
S100A11	P31949
LCE3D	Q9BYE3
SMCP	P49901
IVL	P07476
SPRR3	Q9UBC9
DHX57	Q6P158
SPRR2D	P22532
BMP10	O95393
PGLYRP4	Q96LB8
ARHGAP25	P42331
S100A9	P06702
S100A12	P80511
TGFA	P01135
TDRD10	Q5VZ19
CCNYL1	Q8N7R7
FZD5	Q13467
CRYGC	P07315
DCAF16	Q9NXF7
C1orf189	Q5VU69
NPPC	P23582
GNPDA2	Q8TDQ7
ALPP	P05187
GABRG1	Q8N1C3
ALPPL2	P10696
GABRB1	P18505
PAQR3	Q6TCH7
NIPAL1	Q6NVV3
ALPI	P09923
ANTXR2	P58335
HELQ	Q8TDG4
MRPS18C	Q9Y3D5
CGGBP1	Q9UFW8
FAM175A	Q6UWZ7
GPR155	Q7Z3F1
DAPL1	A0PJW8
PMVK	Q15126
PBXIP1	Q96AQ6
CLDN1	O95832
PYGO2	Q9BRQ0
HIPK1	Q86Z02
LENEP	Q9Y5L5
DCST2	Q5T1A1
DCST1	Q5T197
COL6A3	P12111
C1orf106	Q3KP66
YY1AP1	Q9H869
KBTBD8	Q8NFY9
FAM19A4	Q96LR4
C3orf64	Q5NDL2
LMOD3	Q0VAK6
APOA1BP	Q8NCW5
NBPF10	Q6P3W6
POGLUT1	Q8NBL1
SLC22A15	Q8IZD6
CCKAR	P32238
IGFN1	Q86VF2
ATP1A1	P05023
SLC15A2	Q16348
EIF4E3	Q8N5X7
PROK2	Q9HC23
C3orf30	Q96M34
LRRC58	Q96CX6
FSTL1	Q12841
LMOD1	P29536
ELF3	P78545
PDCL2	Q8N4E4
TMEM183A	Q8IXX5
TMEM169	Q96HH4
IGFBP7	Q16270
TRIM46	Q7Z4K8
KRTCAP2	Q8N6L1
CXCR1	P25024
ARPC2	O15144
C1orf182	Q96A04
CCT3	P49368
TMEM79	Q9BSE2
SSR2	P43308
RNF25	Q96BH1
STK36	Q9NRP7
ADORA1	P30542
SRGAP2	O75044
NEK10	Q6ZWH5
CCDC141	Q6ZP82
FEV	Q99581
CRYBA2	P53672
IHH	Q14623
KIAA1524	Q8TCG1
EOMES	O95936
CWC22	Q9HCG8
AZI2	Q9H6S1
TGFBR2	P37173
RETNLB	Q9BQ08
ANKZF1	Q9H8Y5
HDAC11	Q96DB2
FCRL4	Q96PJ5
TRAT1	Q6PIZ9
FBLN2	P98095
GLB1L	Q6UWU2
STT3B	Q8TCJ2
CHCHD4	Q8N4Q1
DPPA2	Q7Z7J5
NFASC	O94856
FCRLA,FCRL1	Q7L513
FCRL1	Q96LA6
SGOL2	Q562F6
SERPINI1	Q99574
CLASP2	O75122
SUCLG1	P53597
NUAK2	Q9H093
SPTA1	P02549
PRKCI	P41743
MNDA	P41218
PYHIN1	Q6K0P9
IFI16	Q16666
AIM2	O14862
EFHB	Q8N7U6
EIF5A2	Q9GZV4
SLC2A2	P11168
RPL22L1	Q6P5R6
FABP1	P07148
PPM1L	Q5SGD2
ICA1L	Q8NDH6
CTLA4	P16410
ICOS	Q9Y6W8
RYBP	Q8N488
PPP4R2	Q9NY27
CD200R1	Q8TD46
GTPBP8	Q8N3Z3
